alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
2,fan_in,True,75,1031,192,CASH_OUT,146.31,2022-01-01T00:00:00Z
0,fan_in,True,485,783,162,PAYMENT,587.09,2022-01-01T00:00:00Z
1,fan_in,True,1144,540,239,PAYMENT,131.18,2022-01-01T00:00:00Z
0,fan_in,True,4660,605,162,TRANSFER,759.71,2022-01-04T00:00:00Z
0,fan_in,True,8185,14,162,CASH_IN,249.89,2022-01-07T00:00:00Z
0,fan_in,True,12094,1436,162,TRANSFER,697.6,2022-01-10T00:00:00Z
5,fan_out,True,15035,60,165,PAYMENT,765.72,2022-01-13T00:00:00Z
0,fan_in,True,15309,1277,162,CASH_OUT,766.87,2022-01-13T00:00:00Z
0,fan_in,True,18779,885,162,PAYMENT,817.76,2022-01-16T00:00:00Z
3,fan_out,True,21899,247,938,CASH_IN,612.52,2022-01-18T00:00:00Z
0,fan_in,True,22113,951,162,CASH_OUT,946.45,2022-01-19T00:00:00Z
3,fan_out,True,22214,247,395,TRANSFER,233.8,2022-01-19T00:00:00Z
3,fan_out,True,26088,247,1317,CASH_OUT,381.03,2022-01-22T00:00:00Z
3,fan_out,True,26089,247,1267,PAYMENT,381.03,2022-01-22T00:00:00Z
0,fan_in,True,26220,130,162,TRANSFER,933.75,2022-01-22T00:00:00Z
3,fan_out,True,27165,247,335,CASH_OUT,761.62,2022-01-23T00:00:00Z
0,fan_in,True,30305,243,162,PAYMENT,493.66,2022-01-25T00:00:00Z
4,fan_out,True,30487,364,1133,PAYMENT,138.05,2022-01-25T00:00:00Z
0,fan_in,True,33569,1180,162,PAYMENT,978.45,2022-01-28T00:00:00Z
0,fan_in,True,37900,236,162,CASH_OUT,788.6,2022-01-31T00:00:00Z
0,fan_in,True,41533,39,162,CASH_IN,687.67,2022-02-03T00:00:00Z
0,fan_in,True,44836,1179,162,CASH_IN,756.02,2022-02-06T00:00:00Z
3,fan_out,True,45209,247,159,CASH_OUT,843.26,2022-02-06T00:00:00Z
1,fan_in,True,51837,114,239,TRANSFER,848.61,2022-02-12T00:00:00Z
3,fan_out,True,68347,247,408,CASH_IN,249.31,2022-02-25T00:00:00Z
3,fan_out,True,74459,247,1195,CASH_IN,994.31,2022-03-02T00:00:00Z
3,fan_out,True,75393,247,926,CASH_IN,635.24,2022-03-03T00:00:00Z
5,fan_out,True,81404,60,717,TRANSFER,810.65,2022-03-08T00:00:00Z
3,fan_out,True,82337,247,1093,TRANSFER,879.69,2022-03-09T00:00:00Z
3,fan_out,True,85087,247,1099,TRANSFER,930.37,2022-03-11T00:00:00Z
2,fan_in,True,97346,787,192,CASH_IN,185.47,2022-03-21T00:00:00Z
1,fan_in,True,103583,393,239,CASH_IN,265.27,2022-03-26T00:00:00Z
4,fan_out,True,135702,364,933,TRANSFER,835.17,2022-04-22T00:00:00Z
9,scatter_gather,True,140805,1386,937,PAYMENT,195.63,2022-04-27T00:00:00Z
9,scatter_gather,True,140806,1386,81,CASH_IN,195.63,2022-04-27T00:00:00Z
9,scatter_gather,True,142028,1386,1257,PAYMENT,195.63,2022-04-28T00:00:00Z
9,scatter_gather,True,142029,1386,627,CASH_IN,195.63,2022-04-28T00:00:00Z
9,scatter_gather,True,143330,1386,1229,TRANSFER,195.63,2022-04-29T00:00:00Z
4,fan_out,True,143428,364,766,PAYMENT,146.73,2022-04-29T00:00:00Z
9,scatter_gather,True,144155,1386,478,TRANSFER,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,144156,1386,467,PAYMENT,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,144157,1386,989,TRANSFER,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,144158,1386,725,CASH_IN,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,144159,1386,116,TRANSFER,195.63,2022-04-30T00:00:00Z
4,fan_out,True,145162,364,326,PAYMENT,835.73,2022-05-01T00:00:00Z
9,scatter_gather,True,145530,1386,410,CASH_OUT,195.63,2022-05-01T00:00:00Z
9,scatter_gather,True,145531,1386,92,PAYMENT,195.63,2022-05-01T00:00:00Z
9,scatter_gather,True,145532,1386,40,PAYMENT,195.63,2022-05-01T00:00:00Z
9,scatter_gather,True,147339,725,1017,CASH_OUT,195.63,2022-05-03T00:00:00Z
9,scatter_gather,True,147340,81,1017,CASH_IN,195.63,2022-05-03T00:00:00Z
9,scatter_gather,True,148687,116,1017,CASH_OUT,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,148688,1257,1017,PAYMENT,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,148689,410,1017,TRANSFER,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,148690,92,1017,CASH_IN,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,149109,478,1017,CASH_OUT,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,149110,467,1017,CASH_IN,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,149111,1229,1017,CASH_IN,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,150045,989,1017,CASH_IN,195.63,2022-05-06T00:00:00Z
9,scatter_gather,True,150046,627,1017,PAYMENT,195.63,2022-05-06T00:00:00Z
9,scatter_gather,True,150047,40,1017,CASH_IN,195.63,2022-05-06T00:00:00Z
1,fan_in,True,150943,1404,239,CASH_OUT,125.21,2022-05-07T00:00:00Z
5,fan_out,True,155274,60,361,CASH_IN,594.6,2022-05-11T00:00:00Z
4,fan_out,True,156893,364,1069,CASH_OUT,736.51,2022-05-13T00:00:00Z
5,fan_out,True,156919,60,89,CASH_OUT,753.79,2022-05-13T00:00:00Z
5,fan_out,True,158144,60,521,TRANSFER,970.63,2022-05-14T00:00:00Z
2,fan_in,True,179715,45,192,CASH_IN,818.01,2022-06-08T00:00:00Z
1,fan_in,True,187384,471,239,CASH_OUT,64.92,2022-06-18T00:00:00Z
5,fan_out,True,188315,60,127,CASH_IN,216.23,2022-06-20T00:00:00Z
6,scatter_gather,True,190770,62,252,CASH_IN,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190771,62,103,CASH_OUT,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190772,62,743,PAYMENT,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190773,62,200,CASH_IN,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,191394,62,263,TRANSFER,186.74,2022-06-24T00:00:00Z
6,scatter_gather,True,191395,62,1288,PAYMENT,186.74,2022-06-24T00:00:00Z
6,scatter_gather,True,191708,62,695,PAYMENT,186.74,2022-06-25T00:00:00Z
6,scatter_gather,True,191709,62,666,CASH_OUT,186.74,2022-06-25T00:00:00Z
6,scatter_gather,True,193328,200,453,CASH_OUT,186.74,2022-06-27T00:00:00Z
6,scatter_gather,True,193696,666,453,TRANSFER,186.74,2022-06-28T00:00:00Z
6,scatter_gather,True,194226,103,453,TRANSFER,186.74,2022-06-29T00:00:00Z
4,fan_out,True,194575,364,264,CASH_IN,648.61,2022-06-29T00:00:00Z
6,scatter_gather,True,195028,252,453,PAYMENT,186.74,2022-06-30T00:00:00Z
5,fan_out,True,202172,60,1118,TRANSFER,579.49,2022-07-13T00:00:00Z
4,fan_out,True,203719,364,69,CASH_OUT,905.9,2022-07-16T00:00:00Z
4,fan_out,True,203720,364,843,CASH_OUT,905.9,2022-07-16T00:00:00Z
4,fan_out,True,210101,364,1296,TRANSFER,715.36,2022-07-29T00:00:00Z
5,fan_out,True,225295,60,267,CASH_IN,294.36,2022-08-31T00:00:00Z
7,scatter_gather,True,226939,57,713,CASH_IN,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,226940,57,1347,TRANSFER,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,226941,57,1190,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,226942,57,399,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,226943,57,359,PAYMENT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,226944,57,1149,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227500,57,329,CASH_OUT,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227501,57,1100,CASH_IN,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227502,57,1090,CASH_IN,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227503,57,823,PAYMENT,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227504,57,555,CASH_IN,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,228429,1190,398,TRANSFER,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228430,329,398,TRANSFER,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228431,359,398,CASH_OUT,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228432,555,398,CASH_OUT,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228768,713,398,CASH_IN,120.03,2022-09-08T00:00:00Z
4,fan_out,True,235948,364,781,CASH_IN,775.11,2022-09-24T00:00:00Z
5,fan_out,True,252223,60,557,CASH_IN,826.4,2022-11-03T00:00:00Z
5,fan_out,True,255608,60,452,CASH_OUT,820.22,2022-11-11T00:00:00Z
5,fan_out,True,264261,60,255,CASH_IN,635.09,2022-12-04T00:00:00Z
5,fan_out,True,264693,60,623,CASH_IN,938.44,2022-12-05T00:00:00Z
4,fan_out,True,290879,364,1364,TRANSFER,764.4,2023-02-19T00:00:00Z
1,fan_in,True,293055,916,239,CASH_OUT,18.92,2023-02-25T00:00:00Z
4,fan_out,True,295901,364,1114,CASH_IN,779.81,2023-03-06T00:00:00Z
5,fan_out,True,302259,60,1214,TRANSFER,747.28,2023-03-26T00:00:00Z
10,scatter_gather,True,305608,82,27,CASH_OUT,192.49,2023-04-06T00:00:00Z
10,scatter_gather,True,305609,173,27,CASH_OUT,192.49,2023-04-06T00:00:00Z
