step,normal,SAR
0,1223,3
1,1223,0
2,1223,0
3,1223,1
4,1223,0
5,1223,0
6,1223,1
7,1223,0
8,1223,0
9,1223,1
10,1223,0
11,1223,0
12,1223,2
13,1223,0
14,1223,0
15,1223,1
16,1223,0
17,1223,1
18,1223,2
19,1223,0
20,1223,0
21,1223,3
22,1223,1
23,1223,0
24,1223,2
25,1223,0
26,1223,0
27,1223,1
28,1223,0
29,1223,0
30,1223,1
31,1223,0
32,1223,0
33,1223,1
34,1223,0
35,1223,0
36,1223,2
37,1223,0
38,1223,0
39,1223,0
40,1223,0
41,1223,0
42,1223,1
43,1223,0
44,1223,0
45,1223,0
46,1223,0
47,1223,0
48,1223,0
49,1223,0
50,1223,0
51,1223,0
52,1223,0
53,1223,0
54,1223,0
55,1223,1
56,1223,0
57,1223,0
58,1223,0
59,1223,0
60,1223,1
61,1223,1
62,1223,0
63,1223,0
64,1223,0
65,1223,0
66,1223,1
67,1223,1
68,1223,0
69,1223,1
70,1223,0
71,1223,0
72,1223,0
73,1223,0
74,1223,0
75,1223,0
76,1223,0
77,1223,0
78,1223,0
79,1223,1
80,1223,0
81,1223,0
82,1223,0
83,1223,0
84,1223,1
85,1223,0
86,1222,0
87,1221,0
88,1221,0
89,1219,0
90,1217,0
91,1217,0
92,1217,0
93,1215,0
94,1213,0
95,1213,0
96,1205,0
97,1201,0
98,1193,0
99,1188,0
100,1188,0
101,1182,0
102,1175,0
103,1169,0
104,1163,0
105,1156,0
106,1148,0
107,1140,0
108,1130,0
109,1122,0
110,1115,0
111,1110,1
112,1106,0
113,1098,0
114,1086,0
115,1079,0
116,1074,2
117,1072,2
118,1071,2
119,1059,5
120,1051,4
121,1045,0
122,1039,2
123,1037,4
124,1032,3
125,1025,3
126,1022,1
127,1015,0
128,1009,0
129,992,0
130,987,1
131,983,0
132,981,2
133,976,1
134,964,0
135,949,0
136,943,0
137,934,0
138,926,0
139,915,0
140,909,0
141,900,0
142,904,0
143,892,0
144,881,0
145,869,0
146,859,0
147,857,0
148,847,0
149,837,0
150,827,0
151,821,0
152,816,0
153,815,0
154,795,0
155,791,0
156,774,0
157,781,0
158,775,1
159,766,0
160,759,0
161,748,0
162,725,0
163,722,0
164,713,0
165,705,0
166,688,0
167,691,0
168,687,1
169,676,0
170,676,1
171,665,0
172,654,0
173,653,4
174,643,2
175,644,2
176,623,0
177,612,1
178,617,1
179,613,2
180,597,1
181,583,0
182,567,0
183,559,0
184,551,0
185,548,0
186,547,0
187,557,0
188,547,0
189,544,0
190,538,0
191,545,0
192,523,0
193,510,1
194,505,0
195,519,0
196,513,2
197,507,0
198,498,0
199,501,0
200,510,0
201,498,0
202,503,0
203,505,0
204,491,0
205,487,0
206,489,0
207,489,0
208,481,0
209,482,1
210,469,0
211,474,0
212,468,0
213,478,0
214,470,0
215,478,0
216,461,0
217,472,0
218,464,0
219,459,0
220,466,0
221,468,0
222,474,0
223,471,0
224,464,0
225,466,0
226,468,0
227,466,0
228,463,0
229,452,0
230,453,0
231,459,0
232,468,0
233,452,0
234,433,0
235,433,0
236,439,0
237,452,0
238,452,0
239,445,0
240,455,0
241,451,0
242,450,1
243,436,0
244,441,0
245,431,0
246,455,6
247,447,5
248,447,0
249,452,4
250,438,1
251,436,0
252,424,0
253,432,0
254,435,0
255,439,0
256,443,0
257,437,0
258,428,0
259,427,0
260,432,0
261,430,0
262,437,0
263,432,0
264,423,0
265,431,0
266,447,1
267,462,0
268,434,0
269,417,0
270,421,0
271,433,0
272,433,0
273,422,0
274,416,0
275,416,0
276,407,0
277,412,0
278,444,0
279,426,0
280,419,0
281,413,0
282,411,0
283,414,0
284,418,0
285,421,0
286,425,0
287,417,0
288,398,0
289,386,0
290,386,0
291,402,0
292,404,0
293,418,0
294,420,0
295,411,0
296,409,0
297,412,0
298,411,0
299,404,0
300,394,0
301,398,0
302,401,0
303,391,0
304,400,0
305,382,0
306,409,1
307,413,0
308,394,0
309,387,0
310,391,0
311,391,0
312,396,0
313,414,0
314,400,1
315,373,0
316,388,0
317,382,0
318,390,0
319,389,0
320,385,0
321,383,0
322,389,0
323,389,0
324,384,0
325,364,0
326,370,0
327,371,0
328,390,0
329,375,0
330,375,0
331,377,0
332,379,0
333,361,0
334,368,0
335,390,0
336,395,0
337,399,1
338,379,1
339,381,0
340,362,0
341,363,0
342,364,0
343,371,0
344,371,0
345,360,0
346,351,0
347,345,0
348,342,0
349,343,0
350,351,0
351,356,0
352,370,0
353,371,0
354,365,0
355,348,0
356,361,0
357,366,0
358,358,0
359,356,0
360,348,0
361,348,0
362,355,0
