birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,0,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,3,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,4,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,5,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,10,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,13,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,19,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,22,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,23,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,27,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,28,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,36,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,42,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,43,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,44,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,46,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,51,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,52,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,54,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,56,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,59,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,60,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,66,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,68,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,73,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,74,Organization,,,,,,,,,,,,,,False
