step,normal,SAR
0,1223,3
1,1223,0
2,1223,0
3,1223,1
4,1223,0
5,1223,0
6,1223,1
7,1223,0
8,1223,0
9,1223,1
10,1223,0
11,1223,0
12,1223,2
13,1223,0
14,1223,0
15,1223,1
16,1223,0
17,1223,1
18,1223,2
19,1223,0
20,1223,0
21,1223,3
22,1223,1
23,1223,0
24,1223,2
25,1223,0
26,1223,0
27,1223,1
28,1223,0
29,1223,0
30,1223,1
31,1223,0
32,1223,0
33,1223,1
34,1223,0
35,1223,0
36,1223,2
37,1223,0
38,1223,0
39,1223,0
40,1223,0
41,1223,0
42,1223,1
43,1223,0
44,1223,0
45,1223,0
46,1223,0
47,1223,0
48,1223,0
49,1223,0
50,1223,0
51,1223,0
52,1223,0
53,1223,0
54,1223,0
55,1223,1
56,1223,0
57,1223,0
58,1223,0
59,1223,0
60,1223,1
61,1223,1
62,1223,0
63,1223,0
64,1223,0
65,1223,0
66,1223,1
67,1223,1
68,1223,0
69,1223,1
70,1223,0
71,1223,0
72,1223,0
73,1223,0
74,1223,0
75,1223,0
76,1223,0
77,1223,0
78,1223,0
79,1223,1
80,1223,0
81,1223,0
82,1223,0
83,1223,0
84,1223,1
85,1223,0
86,1222,0
87,1222,0
88,1222,0
89,1221,0
90,1221,0
91,1219,0
92,1219,0
93,1216,0
94,1213,0
95,1206,0
96,1203,0
97,1195,0
98,1191,0
99,1185,0
100,1178,0
101,1170,0
102,1163,0
103,1161,0
104,1160,0
105,1152,0
106,1146,0
107,1138,0
108,1136,0
109,1133,0
110,1129,0
111,1120,1
112,1112,0
113,1108,0
114,1101,0
115,1091,0
116,1089,2
117,1084,2
118,1081,2
119,1068,5
120,1055,4
121,1047,0
122,1035,2
123,1035,4
124,1030,3
125,1021,3
126,1013,1
127,1007,0
128,997,0
129,996,0
130,992,1
131,985,0
132,981,2
133,982,1
134,978,0
135,958,0
136,946,0
137,934,0
138,922,0
139,906,0
140,906,0
141,897,0
142,893,0
143,885,0
144,880,0
145,872,0
146,857,0
147,853,0
148,840,0
149,830,0
150,832,0
151,821,0
152,817,0
153,817,0
154,799,0
155,786,0
156,772,0
157,767,0
158,766,1
159,760,0
160,763,0
161,738,0
162,730,0
163,722,0
164,718,0
165,705,0
166,690,0
167,680,0
168,672,0
169,665,0
170,668,1
171,660,0
172,645,0
173,643,4
174,633,2
175,631,2
176,636,0
177,615,1
178,608,1
179,600,2
180,597,1
181,587,0
182,570,0
183,559,0
184,558,0
185,538,0
186,544,0
187,544,0
188,540,0
189,539,0
190,528,0
191,540,0
192,523,0
193,509,1
194,515,0
195,522,0
196,513,2
197,519,0
198,517,0
199,502,0
200,505,0
201,509,0
202,503,0
203,491,0
204,485,0
205,484,0
206,490,0
207,486,0
208,474,0
209,464,1
210,465,0
211,464,0
212,471,0
213,469,0
214,481,0
215,471,0
216,468,0
217,450,0
218,445,0
219,450,0
220,451,0
221,465,0
222,474,0
223,469,0
224,475,0
225,459,0
226,466,0
227,459,0
228,452,0
229,454,0
230,465,0
231,471,0
232,471,0
233,446,0
234,442,0
235,437,0
236,441,0
237,445,0
238,449,0
239,451,0
240,439,0
241,448,0
242,459,1
243,451,0
244,447,0
245,451,0
246,454,6
247,446,5
248,447,0
249,452,5
250,448,1
251,439,0
252,430,0
253,425,0
254,424,0
255,431,0
256,435,0
257,441,0
258,442,0
259,437,0
260,428,0
261,430,0
262,432,0
263,435,0
264,412,0
265,428,0
266,446,1
267,448,0
268,447,0
269,425,0
270,425,0
271,429,0
272,432,0
273,417,0
274,420,0
275,412,0
276,421,0
277,413,0
278,426,0
279,423,0
280,422,0
281,414,0
282,424,0
283,428,0
284,422,0
285,415,0
286,416,0
287,414,0
288,399,0
289,386,0
290,396,0
291,396,0
292,398,0
293,400,0
294,417,0
295,418,0
296,422,0
297,409,0
298,410,0
299,412,0
300,414,0
301,410,0
302,395,0
303,395,0
304,392,0
305,397,0
306,397,1
307,417,0
308,393,0
309,396,0
310,409,0
311,394,0
312,383,0
313,399,0
314,395,1
315,399,0
316,392,0
317,404,0
318,409,0
319,417,0
320,401,0
321,404,0
322,400,0
323,390,0
324,376,0
325,385,0
326,372,0
327,378,0
328,377,0
329,373,0
330,370,0
331,369,0
332,378,0
333,369,0
334,371,0
335,393,0
336,413,0
337,387,1
338,378,1
339,375,0
340,365,0
341,361,0
342,362,0
343,352,0
344,351,0
345,348,0
346,361,0
347,365,0
348,352,0
349,356,0
350,363,0
351,344,0
352,367,0
353,375,0
354,358,0
355,354,0
356,365,0
357,365,0
358,354,0
359,359,0
360,358,0
361,345,0
362,338,0
