step,normal,SAR
0,1223,3
1,1223,0
2,1223,0
3,1223,1
4,1223,0
5,1223,0
6,1223,1
7,1223,0
8,1223,0
9,1223,1
10,1223,0
11,1223,0
12,1223,2
13,1223,0
14,1223,0
15,1223,1
16,1223,0
17,1223,1
18,1223,2
19,1223,0
20,1223,0
21,1223,3
22,1223,1
23,1223,0
24,1223,2
25,1223,0
26,1223,0
27,1223,1
28,1223,0
29,1223,0
30,1223,1
31,1223,0
32,1223,0
33,1223,1
34,1223,0
35,1223,0
36,1223,2
37,1223,0
38,1223,0
39,1223,0
40,1223,0
41,1223,0
42,1223,1
43,1223,0
44,1223,0
45,1223,0
46,1223,0
47,1223,0
48,1223,0
49,1223,0
50,1223,0
51,1223,0
52,1223,0
53,1223,0
54,1223,0
55,1223,1
56,1223,0
57,1223,0
58,1223,0
59,1223,0
60,1223,1
61,1223,1
62,1223,0
63,1223,0
64,1223,0
65,1223,0
66,1223,1
67,1223,1
68,1223,0
69,1223,1
70,1223,0
71,1223,0
72,1223,0
73,1223,0
74,1223,0
75,1223,0
76,1223,0
77,1223,0
78,1223,0
79,1223,1
80,1223,0
81,1223,0
82,1223,0
83,1223,0
84,1223,1
85,1223,0
86,1223,0
87,1223,0
88,1223,0
89,1221,0
90,1221,0
91,1221,0
92,1219,0
93,1218,0
94,1210,0
95,1205,0
96,1199,0
97,1195,0
98,1184,0
99,1174,0
100,1169,0
101,1165,0
102,1157,0
103,1151,0
104,1142,0
105,1136,0
106,1131,0
107,1125,0
108,1120,0
109,1118,0
110,1113,0
111,1109,1
112,1100,0
113,1092,0
114,1084,0
115,1081,0
116,1076,2
117,1069,2
118,1063,2
119,1058,5
120,1049,4
121,1042,0
122,1033,2
123,1029,4
124,1025,3
125,1016,3
126,1009,1
127,1005,0
128,992,0
129,989,0
130,988,1
131,981,0
132,978,2
133,976,1
134,971,0
135,961,0
136,945,0
137,940,0
138,926,0
139,916,0
140,907,0
141,901,0
142,897,0
143,885,0
144,872,0
145,869,0
146,862,0
147,853,0
148,845,0
149,839,0
150,827,0
151,834,0
152,830,0
153,820,0
154,809,0
155,791,0
156,785,0
157,783,0
158,770,1
159,768,0
160,760,0
161,745,0
162,733,0
163,720,0
164,722,0
165,705,0
166,695,0
167,689,0
168,678,0
169,676,0
170,665,1
171,658,0
172,646,0
173,634,4
174,627,2
175,613,2
176,633,0
177,616,1
178,605,1
179,601,2
180,602,1
181,580,0
182,571,0
183,576,0
184,574,0
185,554,0
186,547,0
187,547,0
188,544,0
189,536,0
190,547,0
191,538,0
192,539,0
193,539,1
194,516,0
195,517,0
196,510,2
197,516,0
198,506,0
199,497,0
200,492,0
201,497,0
202,493,0
203,508,0
204,499,0
205,489,0
206,492,0
207,495,0
208,481,0
209,471,1
210,470,0
211,470,0
212,477,0
213,485,0
214,485,0
215,473,0
216,463,0
217,472,0
218,453,0
219,451,0
220,466,0
221,468,0
222,473,0
223,470,0
224,455,0
225,477,0
226,474,0
227,463,0
228,453,0
229,452,0
230,461,0
231,465,0
232,472,0
233,453,0
234,439,0
235,439,0
236,452,0
237,444,0
238,447,0
239,450,0
240,447,0
241,452,0
242,451,1
243,438,0
244,439,0
245,447,0
246,446,6
247,437,5
248,445,0
249,444,3
250,438,0
251,428,0
252,426,0
253,439,0
254,440,0
255,446,0
256,430,0
257,429,0
258,441,0
259,431,0
260,422,0
261,433,0
262,443,0
263,455,0
264,442,0
265,434,0
266,446,1
267,454,0
268,441,0
269,433,0
270,433,0
271,421,0
272,422,0
273,417,0
274,411,0
275,411,0
276,407,0
277,421,0
278,432,0
279,426,0
280,416,0
281,426,0
282,416,0
283,408,0
284,420,0
285,426,0
286,432,0
287,418,0
288,404,0
289,396,0
290,390,0
291,402,0
292,397,0
293,407,0
294,411,0
295,418,0
296,421,0
297,414,0
298,397,0
299,404,0
300,402,0
301,411,0
302,394,0
303,392,0
304,385,0
305,384,0
306,394,1
307,413,0
308,408,0
309,400,0
310,403,0
311,404,0
312,401,0
313,403,0
314,394,1
315,396,0
316,392,0
317,404,0
318,409,0
319,394,0
320,395,0
321,391,0
322,381,0
323,378,0
324,379,0
325,380,0
326,375,0
327,380,0
328,365,0
329,362,0
330,366,0
331,382,0
332,371,0
333,374,0
334,371,0
335,382,0
336,397,0
337,386,1
338,371,1
339,375,0
340,372,0
341,372,0
342,373,0
343,363,0
344,354,0
345,359,0
346,358,0
347,353,0
348,352,0
349,356,0
350,354,0
351,349,0
352,359,0
353,372,0
354,350,0
355,338,0
356,351,0
357,356,0
358,349,0
359,355,0
360,355,0
361,353,0
362,362,0
