alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
1,fan_in,True,243,540,239,PAYMENT,804.88,2022-01-01T00:00:00Z
0,fan_in,True,736,783,162,PAYMENT,842.76,2022-01-01T00:00:00Z
2,fan_in,True,848,1031,192,CASH_OUT,917.68,2022-01-01T00:00:00Z
0,fan_in,True,4308,605,162,TRANSFER,103.77,2022-01-04T00:00:00Z
0,fan_in,True,8286,14,162,CASH_IN,246.36,2022-01-07T00:00:00Z
0,fan_in,True,11574,1436,162,TRANSFER,355.13,2022-01-10T00:00:00Z
5,fan_out,True,15410,60,165,PAYMENT,746.26,2022-01-13T00:00:00Z
0,fan_in,True,15452,1277,162,CASH_OUT,747.4,2022-01-13T00:00:00Z
0,fan_in,True,19078,885,162,PAYMENT,930.96,2022-01-16T00:00:00Z
3,fan_out,True,21784,247,938,CASH_IN,237.56,2022-01-18T00:00:00Z
3,fan_out,True,22584,247,395,TRANSFER,439.21,2022-01-19T00:00:00Z
0,fan_in,True,23162,951,162,CASH_OUT,910.93,2022-01-19T00:00:00Z
3,fan_out,True,25967,247,1317,CASH_OUT,539.74,2022-01-22T00:00:00Z
3,fan_out,True,25968,247,1267,PAYMENT,539.74,2022-01-22T00:00:00Z
0,fan_in,True,26847,130,162,TRANSFER,586.5,2022-01-22T00:00:00Z
3,fan_out,True,26943,247,335,CASH_OUT,132.18,2022-01-23T00:00:00Z
4,fan_out,True,30551,364,1133,PAYMENT,137.84,2022-01-25T00:00:00Z
0,fan_in,True,30583,243,162,PAYMENT,751.94,2022-01-25T00:00:00Z
0,fan_in,True,33562,1180,162,PAYMENT,258.86,2022-01-28T00:00:00Z
0,fan_in,True,37099,236,162,CASH_OUT,960.2,2022-01-31T00:00:00Z
0,fan_in,True,40817,39,162,CASH_IN,198.55,2022-02-03T00:00:00Z
3,fan_out,True,44062,247,159,CASH_OUT,737.0,2022-02-06T00:00:00Z
0,fan_in,True,44144,1179,162,CASH_IN,806.59,2022-02-06T00:00:00Z
1,fan_in,True,51924,114,239,TRANSFER,895.44,2022-02-12T00:00:00Z
3,fan_out,True,67638,247,408,CASH_IN,103.61,2022-02-25T00:00:00Z
3,fan_out,True,73468,247,1195,CASH_IN,314.4,2022-03-02T00:00:00Z
3,fan_out,True,74763,247,926,CASH_IN,724.41,2022-03-03T00:00:00Z
5,fan_out,True,81220,60,717,TRANSFER,183.81,2022-03-08T00:00:00Z
3,fan_out,True,82407,247,1093,TRANSFER,810.71,2022-03-09T00:00:00Z
3,fan_out,True,85313,247,1099,TRANSFER,709.43,2022-03-11T00:00:00Z
2,fan_in,True,97527,787,192,CASH_IN,844.42,2022-03-21T00:00:00Z
1,fan_in,True,103983,393,239,CASH_IN,511.55,2022-03-26T00:00:00Z
4,fan_out,True,135217,364,933,TRANSFER,624.07,2022-04-22T00:00:00Z
9,scatter_gather,True,140525,1386,937,PAYMENT,195.63,2022-04-27T00:00:00Z
9,scatter_gather,True,140526,1386,81,CASH_IN,195.63,2022-04-27T00:00:00Z
9,scatter_gather,True,141617,1386,1257,PAYMENT,195.63,2022-04-28T00:00:00Z
9,scatter_gather,True,141618,1386,627,CASH_IN,195.63,2022-04-28T00:00:00Z
4,fan_out,True,142464,364,766,PAYMENT,940.28,2022-04-29T00:00:00Z
9,scatter_gather,True,142542,1386,1229,TRANSFER,195.63,2022-04-29T00:00:00Z
9,scatter_gather,True,143816,1386,478,TRANSFER,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,143817,1386,467,PAYMENT,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,143818,1386,989,TRANSFER,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,143819,1386,725,CASH_IN,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,143820,1386,116,TRANSFER,195.63,2022-04-30T00:00:00Z
9,scatter_gather,True,145021,1386,410,CASH_OUT,195.63,2022-05-01T00:00:00Z
9,scatter_gather,True,145022,1386,92,PAYMENT,195.63,2022-05-01T00:00:00Z
9,scatter_gather,True,145023,1386,40,CASH_IN,195.63,2022-05-01T00:00:00Z
4,fan_out,True,145065,364,326,PAYMENT,348.82,2022-05-01T00:00:00Z
9,scatter_gather,True,147197,725,1017,CASH_OUT,195.63,2022-05-03T00:00:00Z
9,scatter_gather,True,147198,81,1017,CASH_IN,195.63,2022-05-03T00:00:00Z
9,scatter_gather,True,147879,116,1017,PAYMENT,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,147880,1257,1017,PAYMENT,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,147881,410,1017,CASH_IN,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,147882,92,1017,CASH_IN,195.63,2022-05-04T00:00:00Z
9,scatter_gather,True,148613,478,1017,CASH_OUT,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,148614,467,1017,CASH_IN,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,148615,1229,1017,CASH_IN,195.63,2022-05-05T00:00:00Z
9,scatter_gather,True,149816,989,1017,CASH_IN,195.63,2022-05-06T00:00:00Z
9,scatter_gather,True,149817,627,1017,PAYMENT,195.63,2022-05-06T00:00:00Z
9,scatter_gather,True,149818,40,1017,CASH_IN,195.63,2022-05-06T00:00:00Z
1,fan_in,True,151304,1404,239,CASH_OUT,979.44,2022-05-07T00:00:00Z
5,fan_out,True,155546,60,361,CASH_IN,146.47,2022-05-11T00:00:00Z
5,fan_out,True,156696,60,89,CASH_OUT,230.75,2022-05-13T00:00:00Z
4,fan_out,True,157557,364,1069,CASH_OUT,598.22,2022-05-13T00:00:00Z
5,fan_out,True,157687,60,521,TRANSFER,294.68,2022-05-14T00:00:00Z
2,fan_in,True,179879,45,192,CASH_IN,307.96,2022-06-08T00:00:00Z
5,fan_out,True,188304,60,127,CASH_IN,992.83,2022-06-20T00:00:00Z
6,scatter_gather,True,190671,62,252,CASH_IN,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190672,62,103,CASH_OUT,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190673,62,743,PAYMENT,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,190674,62,200,TRANSFER,186.74,2022-06-23T00:00:00Z
6,scatter_gather,True,191005,62,263,TRANSFER,186.74,2022-06-24T00:00:00Z
6,scatter_gather,True,191006,62,1288,PAYMENT,186.74,2022-06-24T00:00:00Z
6,scatter_gather,True,191701,62,695,PAYMENT,186.74,2022-06-25T00:00:00Z
6,scatter_gather,True,191702,62,666,CASH_OUT,186.74,2022-06-25T00:00:00Z
6,scatter_gather,True,193137,200,453,CASH_IN,186.74,2022-06-27T00:00:00Z
6,scatter_gather,True,193421,666,453,TRANSFER,186.74,2022-06-28T00:00:00Z
6,scatter_gather,True,194114,103,453,CASH_IN,186.74,2022-06-29T00:00:00Z
4,fan_out,True,194338,364,264,CASH_IN,234.01,2022-06-29T00:00:00Z
6,scatter_gather,True,194741,252,453,CASH_IN,186.74,2022-06-30T00:00:00Z
5,fan_out,True,201954,60,1118,TRANSFER,768.1,2022-07-13T00:00:00Z
4,fan_out,True,203615,364,69,CASH_OUT,383.76,2022-07-16T00:00:00Z
4,fan_out,True,203616,364,843,CASH_OUT,383.76,2022-07-16T00:00:00Z
4,fan_out,True,209715,364,1296,TRANSFER,776.11,2022-07-29T00:00:00Z
5,fan_out,True,225383,60,267,CASH_IN,922.8,2022-08-31T00:00:00Z
7,scatter_gather,True,227062,57,713,CASH_IN,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227063,57,1347,TRANSFER,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227064,57,1190,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227065,57,399,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227066,57,359,PAYMENT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227067,57,1149,CASH_OUT,194.26,2022-09-04T00:00:00Z
7,scatter_gather,True,227605,57,329,CASH_OUT,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227606,57,1100,CASH_IN,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227607,57,1090,CASH_IN,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227608,57,823,PAYMENT,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,227609,57,555,PAYMENT,194.26,2022-09-05T00:00:00Z
7,scatter_gather,True,228413,1190,398,TRANSFER,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228414,329,398,PAYMENT,194.26,2022-09-07T00:00:00Z
7,scatter_gather,True,228415,555,398,PAYMENT,194.26,2022-09-07T00:00:00Z
4,fan_out,True,235873,364,781,CASH_IN,918.15,2022-09-24T00:00:00Z
5,fan_out,True,252286,60,557,CASH_IN,904.04,2022-11-03T00:00:00Z
5,fan_out,True,255649,60,452,CASH_OUT,820.08,2022-11-11T00:00:00Z
5,fan_out,True,264292,60,255,CASH_IN,734.21,2022-12-04T00:00:00Z
5,fan_out,True,264728,60,623,CASH_IN,308.12,2022-12-05T00:00:00Z
4,fan_out,True,290552,364,1364,TRANSFER,612.2,2023-02-19T00:00:00Z
4,fan_out,True,295300,364,1114,CASH_IN,403.62,2023-03-06T00:00:00Z
5,fan_out,True,301874,60,1214,TRANSFER,543.61,2023-03-26T00:00:00Z
10,scatter_gather,True,305178,82,27,CASH_OUT,192.49,2023-04-06T00:00:00Z
10,scatter_gather,True,305179,173,27,PAYMENT,192.49,2023-04-06T00:00:00Z
10,scatter_gather,True,305892,111,27,TRANSFER,192.49,2023-04-08T00:00:00Z
10,scatter_gather,True,305893,1293,27,CASH_OUT,192.49,2023-04-08T00:00:00Z
10,scatter_gather,True,306733,55,27,TRANSFER,192.49,2023-04-11T00:00:00Z
5,fan_out,True,309150,60,1212,CASH_OUT,621.07,2023-04-18T00:00:00Z
8,scatter_gather,True,315365,66,1445,PAYMENT,199.79,2023-05-09T00:00:00Z
8,scatter_gather,True,315366,8,1445,PAYMENT,199.79,2023-05-09T00:00:00Z
8,scatter_gather,True,315367,44,1445,TRANSFER,199.79,2023-05-09T00:00:00Z
8,scatter_gather,True,315368,197,1445,CASH_OUT,4.39,2023-05-09T00:00:00Z
8,scatter_gather,True,315369,1266,1445,CASH_OUT,199.79,2023-05-09T00:00:00Z
11,gather_scatter,True,333885,122,665,PAYMENT,761.11,2023-07-10T00:00:00Z
11,gather_scatter,True,333886,528,665,CASH_IN,39.49,2023-07-10T00:00:00Z
11,gather_scatter,True,335003,665,216,CASH_OUT,120.09,2023-07-13T00:00:00Z
11,gather_scatter,True,335004,665,1309,PAYMENT,120.09,2023-07-13T00:00:00Z
