alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
0,fan_in,True,172,783,162,PAYMENT,681.31,2022-01-01T00:00:00Z
1,fan_in,True,409,540,239,PAYMENT,753.53,2022-01-01T00:00:00Z
2,fan_in,True,1063,1031,192,CASH_OUT,502.01,2022-01-01T00:00:00Z
0,fan_in,True,4671,605,162,TRANSFER,350.97,2022-01-04T00:00:00Z
0,fan_in,True,8419,14,162,CASH_IN,493.41,2022-01-07T00:00:00Z
0,fan_in,True,11498,1436,162,TRANSFER,727.22,2022-01-10T00:00:00Z
5,fan_out,True,15387,60,165,PAYMENT,798.5,2022-01-13T00:00:00Z
0,fan_in,True,15485,1277,162,CASH_OUT,408.66,2022-01-13T00:00:00Z
0,fan_in,True,18760,885,162,PAYMENT,977.3,2022-01-16T00:00:00Z
3,fan_out,True,21904,247,938,CASH_IN,619.17,2022-01-18T00:00:00Z
0,fan_in,True,22105,951,162,CASH_OUT,429.64,2022-01-19T00:00:00Z
3,fan_out,True,22140,247,395,TRANSFER,885.75,2022-01-19T00:00:00Z
0,fan_in,True,26176,130,162,TRANSFER,151.51,2022-01-22T00:00:00Z
3,fan_out,True,26220,247,1317,CASH_OUT,441.38,2022-01-22T00:00:00Z
3,fan_out,True,26221,247,1267,PAYMENT,441.38,2022-01-22T00:00:00Z
3,fan_out,True,27304,247,335,CASH_OUT,852.0,2022-01-23T00:00:00Z
4,fan_out,True,30017,364,1133,PAYMENT,103.78,2022-01-25T00:00:00Z
0,fan_in,True,30309,243,162,PAYMENT,662.36,2022-01-25T00:00:00Z
0,fan_in,True,33727,1180,162,PAYMENT,314.82,2022-01-28T00:00:00Z
0,fan_in,True,37227,236,162,CASH_OUT,779.1,2022-01-31T00:00:00Z
0,fan_in,True,41387,39,162,CASH_IN,654.18,2022-02-03T00:00:00Z
3,fan_out,True,44406,247,159,CASH_OUT,445.61,2022-02-06T00:00:00Z
0,fan_in,True,44927,1179,162,CASH_IN,191.61,2022-02-06T00:00:00Z
